acct_num,status,gender,last_name,first_name,salary,city,state,
CU-97280682,RM,F,SMITH, kayla,$38056,yonkers,NY,
CU-77503789,RMS,F,SMITH, charlotte,$276227,yonkers,NY,
CU-24578511,RR,M,JOHNSON, james,$345731,lackawanna,NY,
CU-52087796,RMS,M,JOHNSON, john,$322519,plattsburgh,NY,
CU-02616274,RM,M,JOHNSON, robert,$205831,oneonta,NY,
CU-99073064,RMS,M,JOHNSON, michael,$240821,troy,NY,
CU-38903273,RMS,M,JOHNSON, william,$158114,newburgh,NY,
CU-17989754@,RM,M,JOHNSON, david,$64443,rochester,NY,
CU-80816055^,RM,M,JOHNSON, richard,$331502,ithaca,NY,
CU-84776302,RR,M,JOHNSON, joseph,$324174,ithaca,NY,
CU-52362991,RMS,M,JOHNSON, thomas,$288920,yonkers,NY,
CU-68456883,RM,M,JOHNSON, charles,$327889,long%beach,NY,
CU-92789150,RM,M,JOHNSON, christopher,$189170,rensselaer,NY,
CU-88502665,RM,M,JOHNSON, daniel,$74978,new%york,NY,
CU-17202937^,RMS,M,JOHNSON, matthew,$254762,batavia,NY,
CU-67999568,RMS,M,JOHNSON, anthony,$191290,yonkers,NY,
CU-47390958^,RMS,M,JOHNSON, donald,$201371,ogdensburg,NY,
CU-39507133^,RM,M,JOHNSON, mark,$248711,new%rochelle,NY,
CU-70480896,RM,M,JOHNSON, paul,$89550,albany,NY,
CU-90172455,RR,M,JOHNSON, steven,$59940,oneonta,NY,
CU-27966303,RM,M,JOHNSON, andrew,$280830,new%rochelle,NY,
CU-62169425,RMS,M,JOHNSON, kenneth,$329197,ogdensburg,NY,
CU-70454924,RM,M,JOHNSON, joshua,$60368,rome,NY,
CU-75229250,RR,M,JOHNSON, kevin,$342795,kingston,NY,
CU-57721041,RMS,M,JOHNSON, brian,$98012,ithaca,NY,
CU-62443359,RMS,M,JOHNSON, george,$334573,rome,NY,
CU-88821651,RMS,M,JOHNSON, edward,$142709,north%tonawanda,NY,
CU-14544550,RR,M,JOHNSON, ronald,$192254,tonawanda,NY,
CU-37150154@,RMS,M,JOHNSON, timothy,$226587,newburgh,NY,
CU-82801696,RM,M,JOHNSON, jason,$316995,fulton,NY,
CU-99984836@,RMS,M,JOHNSON, jeffrey,$157638,rensselaer,NY,
CU-94120738,RM,M,JOHNSON, ryan,$56429,north%tonawanda,NY,
CU-39956758,RR,M,JOHNSON, jacob,$258045,north%tonawanda,NY,
CU-87703637,RMS,M,JOHNSON, gary,$335145,saratoga%springs,NY,
CU-21430159,RM,M,JOHNSON, nicholas,$285704,yonkers,NY,
CU-74418304,RMS,M,JOHNSON, eric,$217033,beacon,NY,
CU-46634184,RM,M,JOHNSON, jonathan,$147846,dunkirk,NY,
CU-77034556,RMS,M,JOHNSON, stephen,$205828,salamanca,NY,
CU-11090779,RMS,M,JOHNSON, larry,$322810,lockport,NY,
CU-71467291,RR,M,JOHNSON, justin,$280053,olean,NY,
CU-41751651,RM,M,JOHNSON, scott,$141159,syracuse,NY,
CU-66980728,RMS,M,JOHNSON, brandon,$324362,fulton,NY,
CU-08580321^,RMS,M,JOHNSON, benjamin,$212168,norwich,NY,
CU-57677137,RM,M,JOHNSON, samuel,$251697,new%rochelle,NY,
CU-83816294@,RM,M,JOHNSON, frank,$120878,glen%cove,NY,
CU-93841679,RMS,M,JOHNSON, gregory,$194966,ithaca,NY,
CU-45375336,RR,M,JOHNSON, raymond,$192902,glens%falls,NY,
CU-78051136,RM,M,JOHNSON, alexander,$313892,olean,NY,
CU-83022104,RM,M,JOHNSON, patrick,$199199,albany,NY,
CU-51207025,RM,M,JOHNSON, jack,$281751,schenectady,NY,
CU-80776933,RM,M,JOHNSON, dennis,$307284,lackawanna,NY,
CU-26534328,RM,M,JOHNSON, jerry,$346397,,NY,
CU-37068729,RM,M,JOHNSON, tyler,$338584,white%plains,NY,
CU-47938796,RMS,M,JOHNSON, aaron,$162501,salamanca,NY,
CU-03690134,RMS,M,JOHNSON, jose,$51853,newburgh,NY,
CU-06351206^,RMS,M,JOHNSON, henry,$286665,niagara%falls,NY,
CU-29265249,RM,M,JOHNSON, adam,$69431,port%jervis,NY,
CU-39432855,RM,M,JOHNSON, douglas,$288311,oneida,NY,
CU-20619384,RR,M,JOHNSON, nathan,$128901,geneva,NY,
CU-64810627,RMS,M,JOHNSON, peter,$109035,schenectady,NY,
CU-07307763^,RR,M,JOHNSON, zachary,$190877,hornell,NY,
CU-94436145,RM,M,JOHNSON, kyle,$74645,oneonta,NY,
CU-80185191,RM,M,JOHNSON, walter,$221977,newburgh,NY,
CU-22578408,RMS,M,JOHNSON, harold,$168867,beacon,NY,
CU-63758348,RR,M,JOHNSON, jeremy,$324336,albany,NY,
CU-81705168^,RM,M,JOHNSON, ethan,$303701,rome,NY,
CU-36609689,RMS,M,JOHNSON, carl,$234054,yonkers,NY,
CU-06512834,RMS,M,JOHNSON, keith,$318915,watertown,NY,
CU-34078201,RR,M,JOHNSON, roger,$321013,tonawanda,NY,
CU-52677232,RMS,M,JOHNSON, gerald,$335990,cortland,NY,
CU-44444372,RM,M,JOHNSON, christian,$86871,fulton,NY,
CU-88246007,RM,M,JOHNSON, terry,$181088,mechanicville,NY,
CU-13114073,RMS,M,JOHNSON, sean,$91083,oswego,NY,
CU-77997786,RR,M,JOHNSON, arthur,$308348,oneida,NY,
CU-46668693,RMS,M,JOHNSON, austin,$136773,canandaigua,NY,
CU-35940172^,RMS,M,JOHNSON, noah,$67206,tonawanda,NY,
CU-22752939@,RM,M,JOHNSON, lawrence,$101425,gloversville,NY,
CU-54429579@,RM,M,JOHNSON, jesse,$60262,glens%falls,NY,
CU-57955544@,RMS,M,JOHNSON, joe,$261324,rensselaer,NY,
CU-98970077,RM,M,JOHNSON, bryan,$301197,glens%falls,NY,
CU-99045052,RMS,M,JOHNSON, billy,$234202,new%rochelle,NY,
CU-02495229,RM,M,JOHNSON, jordan,$152827,plattsburgh,NY,
CU-95965815@,RMS,M,JOHNSON, albert,$110894,canandaigua,NY,
CU-27512647,RMS,M,JOHNSON, dylan,$283045,new%rochelle,NY,
CU-18799227,RR,M,JOHNSON, bruce,$293045,tonawanda,NY,
CU-92507433@,RM,M,JOHNSON, willie,$231939,little%falls,NY,
CU-65061710,RMS,M,JOHNSON, gabriel,$225839,new%rochelle,NY,
CU-94170817,RM,M,JOHNSON, alan,$275484,cortland,NY,
CU-68453787,RM,M,JOHNSON, juan,$263812,canandaigua,NY,
CU-89018306,RMS,M,JOHNSON, logan,$135183,norwich,NY,
CU-26164125,RR,M,JOHNSON, wayne,$255715,peekskill,NY,
CU-89858268,RM,M,JOHNSON, ralph,$192567,yonkers,NY,
CU-27230665@,RMS,M,JOHNSON, roy,$148485,beacon,NY,
CU-64245681,RR,M,JOHNSON, eugene,$72024,binghamton,NY,
CU-85801307,RM,M,JOHNSON, randy,$64448,kingston,NY,
CU-27469978,RR,M,JOHNSON, vincent,$202281,ogdensburg,NY,
CU-18365371,RMS,M,JOHNSON, russell,$291002,oneida,NY,
CU-12544753,RR,M,JOHNSON, louis,$65624,hudson,NY,
CU-86711846,RM,M,JOHNSON, philip,$106016,fulton,NY,
CU-24243628,RM,M,JOHNSON, bobby,$259372,poughkeepsie,NY,
CU-26552884^,RM,M,JOHNSON, johnny,$79981,tonawanda,NY,
CU-42870540,RM,M,JOHNSON, bradley,$127372,middletown,NY,
CU-53202496,RM,F,JOHNSON, mary,$140218,middletown,NY,
CU-74623477,RM,F,JOHNSON, patricia,$253298,middletown,NY,
CU-06742774,RR,F,JOHNSON, jennifer,$65301,middletown,NY,
CU-76596312,RMS,F,JOHNSON, linda,$40602,middletown,NY,
CU-36888086,RR,F,JOHNSON, elizabeth,$81794,middletown,NY,
CU-50334799,RM,F,JOHNSON, barbara,$246743,middletown,NY,
CU-56592096,RR,F,JOHNSON, susan,$82691,middletown,NY,
CU-37615165,RR,F,JOHNSON, jessica,$61655,middletown,NY,
CU-76055679,RR,F,JOHNSON, sarah,$85458,middletown,NY,
CU-21972575,RR,F,JOHNSON, karen,$54426,middletown,NY,
CU-21264208,RMS,F,JOHNSON, nancy,$100756,middletown,NY,
CU-13454333,RM,F,JOHNSON, lisa,$218642,middletown,NY,
CU-86981036,RR,F,JOHNSON, margaret,$273933,middletown,NY,
CU-37093873,RR,F,JOHNSON, betty,$247944,middletown,NY,
CU-23867985,RR,F,JOHNSON, sandra,$147828,middletown,NY,
CU-98368332,RR,F,JOHNSON, ashley,$39771,middletown,NY,
CU-93200716,RR,F,JOHNSON, dorothy,$99951,middletown,NY,
CU-03917647,RM,F,JOHNSON, kimberly,$60172,middletown,NY,
CU-06173505,RR,F,JOHNSON, emily,$238317,middletown,NY,
CU-32554040,RMS,F,JOHNSON, donna,$278348,middletown,NY,
CU-26788093,RMS,F,JOHNSON, michelle,$107056,middletown,NY,
CU-27384869,RR,F,JOHNSON, carol,$91654,middletown,NY,
CU-46881696,RR,F,JOHNSON, amanda,$94468,middletown,NY,
CU-43531045,RR,F,JOHNSON, melissa,$110935,middletown,NY,
CU-46315900,RR,F,JOHNSON, deborah,$35447,middletown,NY,
CU-55400128,RR,F,JOHNSON, stephanie,$143645,middletown,NY,
CU-66190018,RR,F,JOHNSON, rebecca,$59822,middletown,NY,
CU-65212246,RMS,F,JOHNSON, laura,$240958,middletown,NY,
CU-31284063,RR,F,JOHNSON, sharon,$121038,middletown,NY,
CU-27772786,RR,F,JOHNSON, cynthia,$147339,middletown,NY,
CU-73887846,RMS,F,JOHNSON, kathleen,$258150,middletown,NY,
CU-67430168,RM,F,JOHNSON, amy,$73128,middletown,NY,
CU-17818929,RMS,F,JOHNSON, shirley,$205542,middletown,NY,
CU-50932604,RR,F,JOHNSON, angela,$134106,middletown,NY,
CU-32441845,RR,F,JOHNSON, helen,$152984,middletown,NY,
CU-93779267,RM,F,JOHNSON, anna,$280822,middletown,NY,
CU-56358521,RR,F,JOHNSON, brenda,$254757,middletown,NY,
CU-92595947,RR,F,JOHNSON, pamela,$204263,middletown,NY,
CU-28382401,RR,F,JOHNSON, nicole,$201358,middletown,NY,
CU-10216152,RR,F,JOHNSON, samantha,$142526,middletown,NY,
CU-31525066,RR,F,JOHNSON, katherine,$38128,middletown,NY,
CU-45380198,RM,F,JOHNSON, emma,$61779,middletown,NY,
CU-44027574,RMS,F,JOHNSON, ruth,$111865,middletown,NY,
CU-94199706,RR,F,JOHNSON, christine,$82260,middletown,NY,
CU-15211854,RR,F,JOHNSON, catherine,$92316,middletown,NY,
CU-35481473,RMS,F,JOHNSON, debra,$296521,middletown,NY,
CU-71741026,RM,F,JOHNSON, rachel,$118941,middletown,NY,
CU-61533512,RR,F,JOHNSON, carolyn,$274017,middletown,NY,
CU-02216735,RR,F,JOHNSON, janet,$246426,middletown,NY,
CU-54233678,RR,F,JOHNSON, virginia,$256689,middletown,NY,
CU-17108274,RR,F,JOHNSON, maria,$263980,middletown,NY,
CU-13939984,RR,F,JOHNSON, heather,$179062,middletown,NY,
CU-11379233,RMS,F,JOHNSON, diane,$112219,middletown,NY,
CU-01712613,RR,F,JOHNSON, julie,$37686,middletown,NY,
CU-02398845,RR,F,JOHNSON, joyce,$143522,middletown,NY,
CU-62144568,RMS,F,JOHNSON, victoria,$179421,middletown,NY,
CU-20099066,RR,F,JOHNSON, kelly,$109526,middletown,NY,
CU-08548864,RR,F,JOHNSON, christina,$180873,middletown,NY,
CU-13150237,RMS,F,JOHNSON, lauren,$179815,middletown,NY,
CU-65668614,RMS,F,JOHNSON, joan,$244517,middletown,NY,
CU-22675151,RMS,F,JOHNSON, evelyn,$163113,middletown,NY,
CU-31250109,RM,F,JOHNSON, olivia,$210572,middletown,NY,
CU-97913395,RR,F,JOHNSON, judith,$83016,middletown,NY,
CU-76428715,RR,F,JOHNSON, megan,$195141,middletown,NY,
CU-07006409,RR,F,JOHNSON, cheryl,$34067,middletown,NY,
CU-31023409,RMS,F,JOHNSON, martha,$250088,middletown,NY,
CU-62855038,RR,F,JOHNSON, andrea,$83197,middletown,NY,
CU-08318547,RMS,F,JOHNSON, frances,$262069,middletown,NY,
CU-08183863,RR,F,JOHNSON, hannah,$58908,middletown,NY,
CU-23482127,RR,F,JOHNSON, jacqueline,$247323,middletown,NY,
CU-64778247,RR,F,JOHNSON, ann,$202931,middletown,NY,
CU-76264253,RR,F,JOHNSON, gloria,$244136,middletown,NY,
CU-32412340,RM,F,JOHNSON, jean,$127313,middletown,NY,
CU-69066388,RMS,F,JOHNSON, kathryn,$98520,middletown,NY,
CU-74998494,RR,F,JOHNSON, alice,$190643,middletown,NY,
CU-14699278,RM,F,JOHNSON, teresa,$193941,middletown,NY,
CU-88331392,RM,F,JOHNSON, sara,$77668,middletown,NY,
CU-29189726,RR,F,JOHNSON, janice,$144529,middletown,NY,
CU-02336735,RR,F,JOHNSON, doris,$181507,middletown,NY,
CU-62987401,RMS,F,JOHNSON, madison,$45015,middletown,NY,
CU-80345966,RR,F,JOHNSON, julia,$190795,middletown,NY,
CU-86145668,RR,F,JOHNSON, grace,$237831,middletown,NY,
CU-63316299,RR,F,JOHNSON, judy,$174220,middletown,NY,
CU-99711168,RM,F,JOHNSON, abigail,$63477,middletown,NY,
CU-45689317,RR,F,JOHNSON, marie,$215678,middletown,NY,
CU-64803717,RM,F,JOHNSON, denise,$106931,middletown,NY,
CU-52822882,RR,F,JOHNSON, beverly,$193012,middletown,NY,
CU-15456731,RM,F,JOHNSON, amber,$87260,middletown,NY,
CU-86072376,RR,F,JOHNSON, theresa,$194220,middletown,NY,
CU-65677371,RMS,F,JOHNSON, marilyn,$236410,middletown,NY,
CU-52511086,RR,F,JOHNSON, danielle,$259332,middletown,NY,
CU-39942608,RR,F,JOHNSON, diana,$100868,middletown,NY,
CU-06120592,RR,F,JOHNSON, brittany,$199206,middletown,NY,
CU-13566733,RR,F,JOHNSON, natalie,$261861,middletown,NY,
CU-73831459,RMS,F,JOHNSON, sophia,$171466,middletown,NY,
CU-49128088,RR,F,JOHNSON, rose,$195855,middletown,NY,
CU-03457683,RR,F,JOHNSON, isabella,$100966,middletown,NY,
CU-14256498,RR,F,JOHNSON, alexis,$66724,middletown,NY,
CU-38395453,RR,F,JOHNSON, kayla,$66252,middletown,NY,
CU-43792261,RR,F,JOHNSON, charlotte,$66218,middletown,NY,
